observation_id,replicate,trial_seed,state,age,condition,first_action_delta_rms,first_action_delta_ee6_rms,first_action_delta_gripper_abs,gripper_sign_changed
rep_00_S8_age_08,0,42000,S8,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S8_age_08,0,42000,S8,8,fresh_hidden_empty_ref,0.7496582168984762,0.10150968885858455,1.9677618741989136,1
rep_00_S8_age_08,0,42000,S8,8,stale_hidden_fresh_ref,0.7670479296477009,0.17447147577611108,1.983909249305725,1
rep_00_S8_age_08,0,42000,S8,8,fresh_hidden_fresh_ref,0.7678259427690343,0.17841937452870585,1.983909249305725,1
rep_00_S8_age_09,0,42000,S8,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S8_age_09,0,42000,S8,9,fresh_hidden_empty_ref,0.14540278074443805,0.15673710091163598,0.024385809898376465,0
rep_00_S8_age_09,0,42000,S8,9,stale_hidden_fresh_ref,0.11826938278252576,0.12760762504858117,0.014535903930664062,0
rep_00_S8_age_09,0,42000,S8,9,fresh_hidden_fresh_ref,0.1226162806767908,0.13230942859489148,0.014441490173339844,0
rep_00_S8_age_10,0,42000,S8,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S8_age_10,0,42000,S8,10,fresh_hidden_empty_ref,0.14912769490245134,0.16076165506300558,0.024650096893310547,0
rep_00_S8_age_10,0,42000,S8,10,stale_hidden_fresh_ref,0.10350257883320663,0.11162135591777601,0.015281498432159424,0
rep_00_S8_age_10,0,42000,S8,10,fresh_hidden_fresh_ref,0.11449588458036936,0.12352177293543652,0.014811575412750244,0
rep_00_S8_age_11,0,42000,S8,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S8_age_11,0,42000,S8,11,fresh_hidden_empty_ref,0.146237342822178,0.15775581362045585,0.019394397735595703,0
rep_00_S8_age_11,0,42000,S8,11,stale_hidden_fresh_ref,0.09505807488002466,0.1024697756399074,0.015872418880462646,0
rep_00_S8_age_11,0,42000,S8,11,fresh_hidden_fresh_ref,0.10047378017050816,0.10834531230224674,0.015251994132995605,0
rep_00_S12_age_08,0,42000,S12,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S12_age_08,0,42000,S12,8,fresh_hidden_empty_ref,0.7491271474915997,0.0965095782528202,1.9678556323051453,1
rep_00_S12_age_08,0,42000,S12,8,stale_hidden_fresh_ref,0.12142903388500757,0.13105006520095994,0.013051986694335938,0
rep_00_S12_age_08,0,42000,S12,8,fresh_hidden_fresh_ref,0.11578970340151935,0.1249517079256332,0.013161003589630127,0
rep_00_S12_age_09,0,42000,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S12_age_09,0,42000,S12,9,fresh_hidden_empty_ref,0.7477036404934055,0.08708839622517345,1.9667025208473206,1
rep_00_S12_age_09,0,42000,S12,9,stale_hidden_fresh_ref,0.148386810904545,0.1601861983997512,0.013145744800567627,0
rep_00_S12_age_09,0,42000,S12,9,fresh_hidden_fresh_ref,0.1476656613169222,0.15940682864857983,0.013145744800567627,0
rep_00_S12_age_10,0,42000,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S12_age_10,0,42000,S12,10,fresh_hidden_empty_ref,0.7489075851575397,0.09354142062223735,1.9681305885314941,1
rep_00_S12_age_10,0,42000,S12,10,stale_hidden_fresh_ref,0.12097943089607864,0.13056260098383798,0.0131378173828125,0
rep_00_S12_age_10,0,42000,S12,10,fresh_hidden_fresh_ref,0.11511967140702528,0.12422772702342944,0.0131378173828125,0
rep_00_S12_age_11,0,42000,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_00_S12_age_11,0,42000,S12,11,fresh_hidden_empty_ref,0.750934310684562,0.11458433882214576,1.9668601751327515,1
rep_00_S12_age_11,0,42000,S12,11,stale_hidden_fresh_ref,0.11447337198902553,0.12352903000559946,0.013135552406311035,0
rep_00_S12_age_11,0,42000,S12,11,fresh_hidden_fresh_ref,0.11264484928713943,0.1215521093738796,0.013135552406311035,0
rep_01_S8_age_08,1,42001,S8,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S8_age_08,1,42001,S8,8,fresh_hidden_empty_ref,0.7518638362067361,0.10739415011368679,1.9717742204666138,1
rep_01_S8_age_08,1,42001,S8,8,stale_hidden_fresh_ref,0.764583314035647,0.16133973993585773,1.9839179515838623,1
rep_01_S8_age_08,1,42001,S8,8,fresh_hidden_fresh_ref,0.7646407298982292,0.16165688052083643,1.9839179515838623,1
rep_01_S8_age_09,1,42001,S8,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S8_age_09,1,42001,S8,9,fresh_hidden_empty_ref,0.14101586357270413,0.15202486350980474,0.022999167442321777,0
rep_01_S8_age_09,1,42001,S8,9,stale_hidden_fresh_ref,0.11826664411534234,0.1276046015063027,0.014539182186126709,0
rep_01_S8_age_09,1,42001,S8,9,fresh_hidden_fresh_ref,0.12291735354727194,0.13263367452317723,0.014511406421661377,0
rep_01_S8_age_10,1,42001,S8,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S8_age_10,1,42001,S8,10,fresh_hidden_empty_ref,0.11885682048244807,0.12813498167177031,0.019420742988586426,0
rep_01_S8_age_10,1,42001,S8,10,stale_hidden_fresh_ref,0.10225543104699991,0.11026269665410028,0.015685617923736572,0
rep_01_S8_age_10,1,42001,S8,10,fresh_hidden_fresh_ref,0.10925142455870691,0.11786427877001375,0.014113366603851318,0
rep_01_S8_age_11,1,42001,S8,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S8_age_11,1,42001,S8,11,fresh_hidden_empty_ref,0.20514005708939678,0.22109966726484592,0.035591065883636475,0
rep_01_S8_age_11,1,42001,S8,11,stale_hidden_fresh_ref,0.1715653981000829,0.18520645245051576,0.015304267406463623,0
rep_01_S8_age_11,1,42001,S8,11,fresh_hidden_fresh_ref,0.2020647822859175,0.21818633428664894,0.013400554656982422,0
rep_01_S12_age_08,1,42001,S12,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S12_age_08,1,42001,S12,8,fresh_hidden_empty_ref,0.7464893602101014,0.08671657355115762,1.963569700717926,1
rep_01_S12_age_08,1,42001,S12,8,stale_hidden_fresh_ref,0.12036757534281119,0.1299029094700392,0.013033688068389893,0
rep_01_S12_age_08,1,42001,S12,8,fresh_hidden_fresh_ref,0.11700581558583908,0.1262665722140573,0.013154566287994385,0
rep_01_S12_age_09,1,42001,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S12_age_09,1,42001,S12,9,fresh_hidden_empty_ref,0.08171675252152018,0.08815266090184617,0.010864794254302979,0
rep_01_S12_age_09,1,42001,S12,9,stale_hidden_fresh_ref,0.13183405275073876,0.14229559655734922,0.013164401054382324,0
rep_01_S12_age_09,1,42001,S12,9,fresh_hidden_fresh_ref,0.1289114891072751,0.1391365652347033,0.013164401054382324,0
rep_01_S12_age_10,1,42001,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S12_age_10,1,42001,S12,10,fresh_hidden_empty_ref,0.7495223303807823,0.11321777693642446,1.9635621905326843,1
rep_01_S12_age_10,1,42001,S12,10,stale_hidden_fresh_ref,0.1262471731709947,0.13626447667129685,0.012664735317230225,0
rep_01_S12_age_10,1,42001,S12,10,fresh_hidden_fresh_ref,0.12177773172868343,0.13142555811051615,0.013139545917510986,0
rep_01_S12_age_11,1,42001,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_01_S12_age_11,1,42001,S12,11,fresh_hidden_empty_ref,0.7551848406054155,0.15395682762565518,1.962119460105896,1
rep_01_S12_age_11,1,42001,S12,11,stale_hidden_fresh_ref,0.09645034407331168,0.10404290729890747,0.013004720211029053,0
