contrast,metric,mean,sd,paired_values
policy_effect_at_S8__P12_minus_P8,success,-0.4,0.8944271909999159,"[1.0, -1.0, -1.0, 0.0, -1.0]"
policy_effect_at_S8__P12_minus_P8,performance_score,-0.20249999999999999,0.553999034796592,"[0.6541666666666667, -0.6666666666666666, -0.6291666666666667, 0.033333333333333326, -0.4041666666666667]"
policy_effect_at_S8__P12_minus_P8,steps,48.2,132.08027861872492,"[-156.0, 159.0, 150.0, -8.0, 96.0]"
policy_effect_at_S8__P12_minus_P8,pink_lift_max,-0.01296168697926885,0.028072406227149016,"[0.031777074223449, -0.03344339402652097, -0.030715796175102728, -0.0021627084326330537, -0.030263610485536496]"
policy_effect_at_S8__P12_minus_P8,pink_final_displacement,-0.013091770340291669,0.037600575564866505,"[0.042860726445471856, -0.04925297146173154, -0.03414370203662365, 0.007197137889423347, -0.03212004253799837]"
policy_effect_at_S8__P12_minus_P8,min_tcp_pink_distance,0.011562731173247198,0.04032152746414574,"[-0.04471999245298199, 0.0518394429884068, 0.04965858804318668, -0.0024879256027710087, 0.003523542890395505]"
policy_effect_at_S12__P12_minus_P8,success,-0.2,0.4472135954999579,"[0.0, -1.0, 0.0, 0.0, 0.0]"
policy_effect_at_S12__P12_minus_P8,performance_score,-0.05583333333333333,0.44603383342024133,"[-0.14166666666666672, -0.6458333333333334, 0.6041666666666667, 0.0, -0.09583333333333333]"
policy_effect_at_S12__P12_minus_P8,steps,13.2,106.7178523022273,"[34.0, 154.0, -145.0, 0.0, 23.0]"
policy_effect_at_S12__P12_minus_P8,pink_lift_max,-0.0013632130588711044,0.0014253606804732599,"[-0.0006280905298422512, -0.002762112753102952, 0.0007667242510035477, -0.0020018445694360842, -0.0021907416929777823]"
policy_effect_at_S12__P12_minus_P8,pink_final_displacement,0.04657595825220175,0.07344261747806934,"[0.04142484395858676, 0.17412792777882158, -0.005397311528712742, 0.004362516552495081, 0.01836181449981808]"
policy_effect_at_S12__P12_minus_P8,min_tcp_pink_distance,0.00440696861151989,0.00979699427608958,"[0.0027102314514535833, -0.006322813507341405, 0.020192147576850675, 0.005084020917109758, 0.0003712566195268399]"
state_effect_under_P8__S12_minus_S8,success,0.0,0.7071067811865476,"[1.0, 0.0, 0.0, -1.0, 0.0]"
state_effect_under_P8__S12_minus_S8,performance_score,-0.057499999999999996,0.5544203679920539,"[0.6541666666666667, -0.02083333333333326, -0.5541666666666667, -0.6541666666666667, 0.2875]"
state_effect_under_P8__S12_minus_S8,steps,13.8,132.471506370238,"[-156.0, 5.0, 133.0, 156.0, -69.0]"
state_effect_under_P8__S12_minus_S8,pink_lift_max,0.0002850444337934688,0.022529090712678806,"[0.03256245278846481, -0.002041614219066179, -0.0003095011492368349, -0.031002519359759895, 0.0022164041085654396]"
state_effect_under_P8__S12_minus_S8,pink_final_displacement,0.012303158747054763,0.021306603895614888,"[0.03401465820885337, 0.023164066871505053, 0.01737509806290652, 0.009169579063843608, -0.022207608471834735]"
state_effect_under_P8__S12_minus_S8,min_tcp_pink_distance,-0.0075988750641692,0.021402007481369424,"[-0.04182458301737472, 0.0031744978698426823, -0.015272619475336115, 0.008805676390823247, 0.007122652911198908]"
state_effect_under_P12__S12_minus_S8,success,0.2,0.8366600265340756,"[0.0, 0.0, 1.0, -1.0, 1.0]"
state_effect_under_P12__S12_minus_S8,performance_score,0.08916666666666666,0.5633065205650571,"[-0.14166666666666672, 0.0, 0.6791666666666667, -0.6875, 0.5958333333333333]"
state_effect_under_P12__S12_minus_S8,steps,-21.2,134.36219706450174,"[34.0, 0.0, -162.0, 164.0, -142.0]"
state_effect_under_P12__S12_minus_S8,pink_lift_max,0.011883518354191214,0.027177978786241883,"[0.00015728803517356393, 0.028639667054351836, 0.03117301927686944, -0.030841655496562925, 0.030289272901124153]"
state_effect_under_P12__S12_minus_S8,pink_final_displacement,0.07197088733954818,0.0986325381781911,"[0.032578775721968274, 0.24654496611205817, 0.04612148857081742, 0.006334957726915343, 0.028274248565981718]"
state_effect_under_P12__S12_minus_S8,min_tcp_pink_distance,-0.014754637625896506,0.032604271112180706,"[0.005605640887060857, -0.05498775862590552, -0.04473905994167212, 0.016377622910704014, 0.003970366640330243]"
averaged_policy_main_effect__P12_minus_P8,success,-0.3,0.570087712549569,"[0.5, -1.0, -0.5, 0.0, -0.5]"
averaged_policy_main_effect__P12_minus_P8,performance_score,-0.12916666666666665,0.34490651410523143,"[0.25625, -0.65625, -0.012499999999999956, 0.016666666666666663, -0.25]"
averaged_policy_main_effect__P12_minus_P8,steps,30.7,82.25463512775436,"[-61.0, 156.5, 2.5, -4.0, 59.5]"
averaged_policy_main_effect__P12_minus_P8,pink_lift_max,-0.007162450019069977,0.014192118162358214,"[0.015574491846803373, -0.01810275338981196, -0.01497453596204959, -0.002082276501034569, -0.01622717608925714]"
averaged_policy_main_effect__P12_minus_P8,pink_final_displacement,0.01674209395595504,0.03444040513723796,"[0.04214278520202931, 0.062437478158545015, -0.019770506782668194, 0.005779827220959214, -0.006879114019090145]"
averaged_policy_main_effect__P12_minus_P8,min_tcp_pink_distance,0.007984849892383544,0.021596384916531975,"[-0.021004880500764204, 0.0227583147405327, 0.034925367810018676, 0.0012980476571693746, 0.0019473997549611724]"
averaged_state_main_effect__S12_minus_S8,success,0.1,0.6519202405202649,"[0.5, 0.0, 0.5, -1.0, 0.5]"
averaged_state_main_effect__S12_minus_S8,performance_score,0.01583333333333332,0.42234824279786515,"[0.25625, -0.01041666666666663, 0.0625, -0.6708333333333334, 0.44166666666666665]"
averaged_state_main_effect__S12_minus_S8,steps,-3.7,100.7463398838886,"[-61.0, 2.5, -14.5, 160.0, -105.5]"
averaged_state_main_effect__S12_minus_S8,pink_lift_max,0.006084281393992341,0.02072369719261848,"[0.01635987041181919, 0.013299026417642829, 0.015431759063816303, -0.03092208742816141, 0.016252838504844797]"
averaged_state_main_effect__S12_minus_S8,pink_final_displacement,0.042137023043301476,0.05360508662539349,"[0.033296716965410825, 0.13485451649178162, 0.03174829331686197, 0.007752268395379475, 0.0030333200470734917]"
averaged_state_main_effect__S12_minus_S8,min_tcp_pink_distance,-0.01117675634503285,0.019132242785774006,"[-0.01810947106515693, -0.02590663037803142, -0.030005839708504116, 0.01259164965076363, 0.005546509775764576]"
interaction__policy_effect_S12_minus_policy_effect_S8,success,0.2,0.8366600265340756,"[-1.0, 0.0, 1.0, 0.0, 1.0]"
interaction__policy_effect_S12_minus_policy_effect_S8,performance_score,0.14666666666666667,0.7320383926634814,"[-0.7958333333333334, 0.02083333333333326, 1.2333333333333334, -0.033333333333333326, 0.30833333333333335]"
interaction__policy_effect_S12_minus_policy_effect_S8,steps,-35.0,174.94141876639733,"[190.0, -5.0, -295.0, 8.0, -73.0]"
interaction__policy_effect_S12_minus_policy_effect_S8,pink_lift_max,0.011598473920397746,0.027830170987000358,"[-0.03240516475329125, 0.030681281273418015, 0.031482520426106275, 0.00016086386319696944, 0.028072868792558714]"
interaction__policy_effect_S12_minus_policy_effect_S8,pink_final_displacement,0.05966772859249343,0.09418426973550391,"[-0.0014358824868850942, 0.22338089924055313, 0.028746390507910904, -0.0028346213369282655, 0.05048185703781645]"
interaction__policy_effect_S12_minus_policy_effect_S8,min_tcp_pink_distance,-0.007155762561727305,0.03972402273087587,"[0.047430223904435576, -0.0581622564957482, -0.029466440466336005, 0.0075719465198807664, -0.003152286270868665]"
